Married,NumberOfChildren,Address,CreditCardNumber,CreditCardExpirationDate,CreditCardCVC,DrivingLicenseDateObtained,DrivingLicenseAgeObtained
False,1,"646, boulevard de Munoz
65761 Sainte Manon",2016-3231-5846-1119,4/25,957,2010-10-11,47.318275154004105
False,0,"rue Denis Maurice
38494 Sainte Margot",4948-7746-5283-4627,9/24,626,1997-09-08,41.74674880219028
False,2,"boulevard Michelle Dupont
14965 Nicolas-les-Bains",2412-5676-4101-9638,5/24,139,2009-10-18,35.29911019849418
True,2,"4, rue de Launay
17389 Paul-les-Bains",4256-5129-1543-6145,9/24,748,1987-12-29,20.027378507871322
True,1,"97, rue de Bertrand
53561 Lopes",6842-1235-2306-5811,11/24,470,2016-11-21,31.99726214921287
False,0,"chemin Perez
59890 MartyVille",9898-5940-2225-1212,12/25,946,2019-05-07,22.600958247775495
True,3,"76, rue Faure
73343 Maillot",3389-3620-3510-8026,7/24,334,2008-03-28,20.112251882272417
False,1,"329, avenue de Vallée
62262 Rey-les-Bains",8347-5604-2174-7924,12/24,650,2012-08-21,20.577686516084874
False,0,"41, rue Alexandre
69548 Dias",4833-5846-3540-1570,1/25,283,1999-04-08,18.718685831622178
True,0,"132, rue de Ruiz
37478 De Oliveira-sur-Nicolas",8911-6890-9967-8190,2/25,519,2017-10-19,30.55441478439425
False,2,"422, rue Guilbert
57457 Chauvin",2257-9827-6572-3031,2/24,725,2010-05-01,18.116358658453116
True,1,"592, avenue de Grenier
53179 Bertrand-sur-Mer",3528-4820-3929-9154,8/24,157,2013-06-23,31.422313483915126
False,2,"15, chemin Maurice Costa
79826 Grenier",6679-2237-1310-7219,4/25,339,2018-11-16,22.691307323750856
False,0,"45, avenue de Mathieu
48501 Sainte Jacqueline",5802-2668-3144-8489,5/25,513,1989-05-22,20.197125256673512
True,2,"8, chemin Pichon
35375 Raynaud",7339-7399-9805-9264,1/24,354,2017-01-15,52.780287474332646
False,2,"53, rue Valentin
54557 Saint BenoîtBourg",8670-3381-9960-6798,1/25,920,2017-08-13,30.272416153319643
True,1,"9, chemin Audrey Fleury
30906 Barbe",9173-4456-4276-7457,4/25,610,2015-07-01,33.08145106091718
True,2,"avenue Honoré Laporte
23630 MilletVille",9279-1693-9637-6730,4/24,836,2016-09-27,20.11772758384668
True,1,"270, rue Chantal Diallo
16739 VidalVille",9457-4210-4039-1610,8/25,243,2020-05-30,44.35044490075291
False,1,"100, boulevard de Millet
62377 Saint Jean",3211-9690-7190-4576,1/24,847,2005-07-08,22.275154004106778
True,3,"906, chemin de Potier
18501 Lucas",5003-1746-2803-8784,3/25,441,2021-11-09,24.57494866529774
False,1,"70, rue Dos Santos
07989 Lefort-sur-Mer",1293-1481-5971-8769,9/25,247,2018-08-15,34.25872689938399
True,0,"5, boulevard Nicolas Roger
76156 Sainte Christelle-les-Bains",4640-4753-9077-4921,3/25,650,2021-10-04,18.850102669404517
True,1,"chemin Nathalie Legrand
54273 Saint Frédéric",6794-2053-5840-8109,8/25,900,2016-12-19,24.175222450376456
False,3,"35, avenue de Samson
38461 Imbert-sur-Mer",3742-2363-1599-1930,5/24,306,2009-02-24,48.72553045859001
True,0,"1, boulevard Gimenez
97160 Sainte Roland",5075-4976-8436-2158,11/25,962,2001-02-13,18.885694729637233
True,1,"970, chemin Julien Muller
43788 Carpentier",3280-4745-4005-4160,6/24,514,2010-04-21,50.510609171800134
True,2,"6, rue Potier
13573 Pineau",5969-7004-9627-7812,12/25,010,2015-09-10,40.56673511293634
True,1,"766, boulevard Véronique Evrard
01156 Andre-sur-Rodriguez",7505-4997-1819-9852,12/24,243,2010-08-17,44.99657768651608
True,0,"61, chemin Laure Dupuy
97650 Chevalier-sur-Raymond",2727-1429-9590-5032,3/24,632,2006-08-22,20.262833675564682
False,0,"32, rue Reynaud
29975 Maillard",5873-7567-9237-5618,3/24,530,2021-11-28,20.05475701574264
False,0,"16, avenue de Mallet
45360 Chevallier",1337-5348-1352-2905,8/24,636,2004-06-28,26.94318959616701
False,1,"725, boulevard Chantal Courtois
18864 Gaillardboeuf",6018-8072-8019-4926,7/24,976,2009-09-05,27.76728268309377
True,4,"63, chemin de Martineau
27709 Sainte Davidboeuf",1698-4000-1202-6860,1/24,643,2008-02-13,24.484599589322382
True,3,"151, boulevard Couturier
95669 Morvannec",8084-9725-9881-9638,6/24,401,1994-06-13,24.32306639288159
True,0,"64, chemin Josette Renaud
45866 Martineau",7361-2208-2790-4217,4/24,203,2017-05-05,38.12731006160164
False,1,"30, rue Léger
30878 Briand-sur-Legrand",4008-7429-2213-3538,4/25,222,2018-09-22,28.8870636550308
