foyer_id,FullName,DateOfBirth
0,Célina Roux,1975-10-01
1,Antoinette Bonneau,1989-02-24
1,Robert Bonnin,2022-11-13
2,Maurice Couturier,1955-06-04
2,Michelle Hoarau,1959-07-12
2,Henri Couturier,1975-11-27
3,Pauline Caron,1988-08-14
4,Nathalie Joly,1998-05-10
4,Franck Bonneau,1996-01-27
4,Maurice Bonneau,2015-01-12
4,Constance Bonneau,2007-05-23
5,Nathalie Dos Santos,1987-03-23
5,Matthieu Poirier,1985-07-04
6,Pauline Pelletier,1991-10-29
6,Denis Lelièvre,1992-09-17
7,Adèle Bruneau,1985-07-14
7,Chantal Lelièvre,2005-09-18
8,Sébastien Toussaint,1964-05-12
8,Charlotte Grenier,1959-11-01
9,Célina Barbe,1966-07-19
9,Frédéric Barthelemy,1967-11-13
10,Antoine Potier,1990-12-11
10,Françoise Jacques,1989-12-18
10,Margaud Potier,2010-04-25
11,Franck Morvan,1966-05-09
11,Émilie Lemonnier,1967-01-01
11,Martin Morvan,1994-08-21
12,Richard Couturier,2003-03-28
12,Christelle Descamps,1997-06-14
12,Thierry Couturier,2017-03-30
12,Laurent Couturier,2010-08-26
13,Catherine Fischer,1977-08-31
13,Paul Lesage,1974-08-17
13,David Lesage,1998-10-27
13,Henri Lesage,2013-07-02
14,Alexandre Rocher,1976-03-23
14,Adèle Leclercq,1977-07-28
15,Michelle Legrand,1976-07-05
15,Michelle Leclercq,2012-01-24
16,Bernard Royer,1998-11-06
16,Claire Blin,2002-01-27
17,Joseph Perrier,1996-12-14
17,Juliette Allain,1997-07-22
17,Roland Perrier,2023-05-07
17,Sylvie Perrier,2018-12-07
18,Bertrand Barbier,1977-06-16
18,Denise Riou,1974-08-30
19,Monique Bertin,1993-02-16
19,Robert Léger,1992-05-24
19,Josette Léger,2010-11-13
20,Tristan Dupuy,1957-03-07
20,Alex Lopes,1951-04-11
20,Pierre Dupuy,2000-04-25
21,Josette Fernandes,1962-09-29
21,Thibault Dumont,1961-08-21
21,Christiane Dumont,2002-11-29
21,René Dumont,1984-03-28
21,Benoît Dumont,2019-11-03
22,Auguste Chrétien,1955-11-17
22,Margot Martel,1955-05-05
22,Théodore Chrétien,1995-04-11
23,Thomas Da Silva,1965-08-17
23,Gabrielle Picard,1961-06-24
24,Lucy Gillet,1958-04-25
24,Augustin Carre,1959-03-27
25,Nathalie Aubry,1965-04-14
25,Élise Carre,1988-06-23
26,Camille Rolland,1972-05-28
26,Martin Pierre,1973-01-02
26,Richard Pierre,2012-11-12
26,Océane Pierre,2000-05-31
27,Olivie Rodriguez,1978-05-21
27,Marine Pierre,2005-03-18
27,Marianne Pierre,2015-03-04
28,Henriette Legros,1962-02-19
28,Patrick Pierre,1985-03-27
29,Étienne Clément,1982-08-14
29,Agnès Barbier,1981-03-21
29,Marguerite Clément,2012-05-11
29,Suzanne Clément,2017-02-02
30,Bernard Langlois,1970-12-18
30,Virginie Perret,1965-07-15
30,Alice Langlois,1990-05-31
30,Christine Langlois,2006-01-17
30,Dorothée Langlois,2011-01-27
31,Étienne Navarro,1989-09-12
31,Isabelle Navarro,2018-06-13
32,Margot Moreno,1968-04-01
33,Geneviève Chauvet,1990-12-30
34,Valérie Delahaye,1978-12-20
34,Édouard Laroche,1979-09-11
35,Suzanne Barre,1996-10-14
36,Noémi François,1995-09-07
36,Daniel Didier,1994-09-20
36,Édouard Didier,2021-11-11
36,David Didier,2020-06-05
37,Marguerite Collin,1983-04-08
37,Gérard Didier,2017-01-23
37,Raymond Didier,2005-07-01
38,Nathalie Lucas,1955-11-08
38,Arthur Didier,2021-10-09
39,Honoré Ferreira,1955-05-10
39,Bertrand Ferreira,2019-09-26
40,Victor Mace,1975-06-06
40,Josette Guillot,1980-07-07
41,Aimé Deschamps,2002-01-02
41,Thomas Deschamps,2021-03-17
41,Monique Deschamps,2010-02-22
41,Paul Deschamps,2014-07-18
42,Aurore Michel,1966-04-15
42,Daniel Neveu,1965-09-27
42,Roger Neveu,2001-04-21
43,Olivier Gautier,1967-12-12
43,Frédérique Georges,1964-07-09
43,Noémi Gautier,1990-07-20
44,Philippe Gaillard,1983-11-23
44,Céline Bertin,1985-11-24
45,Yves Perrot,1974-04-26
45,Anouk Perrot,2007-09-04
45,Théodore Perrot,1997-07-30
46,Dorothée Alves,1994-11-08
46,Arthur Meyer,1998-10-15
46,Gilbert Meyer,2013-03-07
46,Capucine Meyer,2009-06-03
47,Isabelle Brun,1955-04-30
48,Cécile Bigot,1973-08-18
48,Louise Meyer,1994-06-02
48,Laetitia Meyer,1996-08-10
49,Raymond Perret,1990-01-08
49,Anaïs Normand,1991-10-18
50,Victor Benoit,1962-04-22
50,Denise Godard,1959-05-24
51,Paulette Rodriguez,1974-09-09
51,Édouard Godard,2005-07-22
51,Guillaume Godard,2022-05-30
52,Martin Ferrand,1985-10-03
52,Charles Ferrand,2012-05-20
53,Bernadette Durand,1974-02-18
53,Alfred Carlier,1977-03-07
54,Philippe Benoit,1960-12-18
55,Augustin Guillou,1995-05-05
55,Adrienne Guillot,1995-01-03
55,Adrienne Guillou,2006-09-06
55,Laure Guillou,2004-05-22
56,Xavier Morin,1999-06-17
56,Denise Gosselin,1997-11-06
57,Édouard Gaudin,1984-09-19
57,Élodie Gomes,1982-01-08
57,Étienne Gaudin,2005-01-11
58,Luce Schneider,1957-04-02
58,Guy Gomes,1994-07-12
59,Alain Lefebvre,1989-01-05
59,Philippine Barbier,1983-10-03
59,Alix Lefebvre,2019-10-14
60,Michel Rey,1985-09-11
60,Olivie Bonnin,1984-05-20
60,Éléonore Rey,2004-06-02
61,Claire Legendre,1960-11-29
61,Théodore Bonnin,1994-08-03
61,Alfred Bonnin,2009-03-19
61,Renée Bonnin,2020-11-12
62,Julien Marques,1965-06-23
63,Gilles Lemaire,2001-08-31
63,Nathalie Gillet,2003-05-31
63,Honoré Lemaire,2013-12-06
63,Anouk Lemaire,2008-12-01
63,Théodore Lemaire,2004-07-15
64,Christiane Valette,1998-09-13
64,Laurent Pineau,1994-11-30
64,Nath Pineau,2009-02-13
65,Zacharie Bernier,1978-08-29
65,Denise Lagarde,1980-02-03
65,Stéphanie Bernier,1999-10-09
66,Timothée Texier,1996-12-23
66,Patricia Texier,2006-09-18
67,Thérèse Rivière,1979-03-20
67,André Pascal,1977-08-17
67,Véronique Pascal,2011-08-11
67,Marie Pascal,2005-03-18
68,Michel Bouvier,1966-10-23
69,Georges Guyon,2003-07-12
70,Valentine Barre,1989-09-13
70,Aimé Dumas,1987-05-15
70,Adélaïde Dumas,2020-01-07
70,Anne Dumas,2009-12-08
70,Adrienne Dumas,2020-07-05
71,Xavier Étienne,1999-08-23
71,Éléonore Costa,2000-08-28
72,Guy Bernard,1979-05-01
72,Zoé Olivier,1984-02-08
73,Denis Roy,1980-07-10
74,Émile Laurent,1963-09-15
74,Cécile Gros,1966-02-03
74,Océane Laurent,1985-08-28
75,Virginie Martineau,1994-02-04
75,Raymond Gros,2003-12-19
75,Joséphine Gros,2004-04-28
75,Anne Gros,2014-10-15
76,Raymond Gosselin,1999-12-09
76,Olivie Pons,2005-03-10
77,Jacqueline Coste,1980-08-09
77,Bernard Vallée,1981-12-31
77,Nicolas Vallée,2010-02-09
77,Adélaïde Vallée,2019-10-29
78,Corinne Raymond,1979-09-10
78,Bertrand Bonnet,1976-03-25
78,Madeleine Bonnet,2013-01-03
79,Matthieu Pichon,1969-10-15
79,Nicolas Pichon,1994-12-24
80,Marc Colas,1998-04-15
80,Margaud Baudry,2002-09-28
81,Aurore Vasseur,1979-02-06
81,André Baudry,1998-02-14
81,Pénélope Baudry,2012-02-10
81,Yves Baudry,1999-09-29
82,Xavier Marion,1975-11-07
82,Martine Fernandes,1977-10-15
82,Claudine Marion,2009-05-10
83,Christophe Muller,1957-10-03
83,Frédérique Maurice,1961-06-17
83,Roger Muller,1989-12-14
84,Guillaume Blanchard,1977-04-28
84,Clémence Vallée,1976-11-04
84,Sabine Blanchard,2014-01-14
84,Jean Blanchard,2010-01-24
84,Jean Blanchard,1996-08-28
85,Maryse Delaunay,1963-08-07
85,Élise Vallée,2000-08-02
85,David Vallée,2016-05-23
85,Laurent Vallée,1992-07-22
86,Margaux Guichard,1999-07-20
87,Thibaut Salmon,1956-04-19
88,Chantal Breton,1975-01-05
88,Timothée Pages,1977-10-23
88,Charles Pages,2002-06-29
89,Sabine Lombard,1955-03-02
89,Olivier Le Roux,1951-02-16
89,Amélie Le Roux,1996-02-04
89,Alice Le Roux,1986-04-07
90,Constance Morin,1979-03-22
90,Noël Lemonnier,1978-06-07
90,Aurore Lemonnier,2008-02-09
90,Caroline Lemonnier,2022-01-21
91,Rémy Étienne,1995-06-26
91,Anaïs Bertrand,1992-04-01
91,Étienne Étienne,2014-07-27
91,Louis Étienne,2019-06-20
92,Suzanne Godard,1974-09-04
92,François Laporte,1969-09-01
92,Corinne Laporte,2014-12-19
93,Franck Olivier,1993-07-02
94,Jacqueline Vallée,1984-02-26
94,Benoît Laporte,2021-02-04
94,Henriette Laporte,2019-10-31
94,Agathe Laporte,2013-05-04
95,Inès Brun,1982-12-18
95,Martin Girard,1982-06-26
95,Anastasie Girard,2007-11-29
96,Patricia Marie,1990-02-13
96,David Aubry,1991-05-11
96,Aurore Aubry,2011-09-23
96,Étienne Aubry,2003-01-19
97,Noël Arnaud,1972-03-07
